ID,Offset,Length,Pad,Text
1,0x15D2C,6,01,ちゃん
2,0x15D3C,4,01,さん
3,0x184E4,4,01,・・
4,0x18888,4,01,・・
5,0x18CBC,8,01,ですにょ
6,0x18CD0,6,01,だよね
7,0x18CE0,6,01,のにょ
8,0x18CF0,6,01,のだぁ
9,0x18D00,4,01,にょ
10,0x18D10,4,01,よね
11,0x18D20,4,01,ねぇ
12,0x18D30,4,01,なぁ
13,0x18D40,4,01,だぁ
14,0x18D50,10,01,いのかにょ
15,0x18D64,4,01,いの
16,0x18DEC,4,01,・・
17,0x18E98,6,01,ぅにょ
18,0x18EA8,10,01,にょーにょ
19,0x18EBC,8,01,にょにょ
20,0x1AD2C,4,01,ジャ
21,0x1AD48,4,01,ジュ
22,0x1AD64,4,01,ジョ
23,0x1AF60,4,01,ズァ
24,0x5F4EC,18,01,きょう・あすの天気
25,0x5F508,19,01,週間天気予報</font>
26,0x5F524,15,01,降水確率</font>
27,0x5F53C,11,01,気温</font>
28,0x5F550,11,01,日付</font>
29,0x5F564,11,01,天気</font>
30,0x5F5AC,6,01,天気：
31,0x5F5BC,6,01,気温：
32,0x5F5CC,10,01,降水確率：
33,0x5F5E0,9,01,00-06時　
34,0x5F5F4,9,01,06-12時　
35,0x5F608,9,01,12-18時　
36,0x5F61C,9,01,18-24時　
37,0x609CC,4,01,嫌い
38,0x609DC,12,01,嫌いじゃない
39,0x60A00,6,01,くない
40,0x60A1C,4,01,ない
41,0x60A2C,8,01,じゃない
42,0x60DE4,4,01,かる
43,0x60DF4,4,01,がる
44,0x60E04,6,01,らない
45,0x60E20,4,01,ない
46,0x60E3C,6,01,わない
47,0x60E58,6,01,なない
48,0x60E74,6,01,さない
49,0x60E84,6,01,しない
50,0x610C8,6,01,られる
51,0x610D8,6,01,られた
52,0x610F4,6,01,われる
53,0x61104,6,01,われた
54,0x61120,6,01,される
55,0x61130,6,01,された
56,0x612F0,4,01,いる
57,0x61300,4,01,える
58,0x61310,4,01,れる
59,0x6135C,4,01,する
60,0x622A0,15,01,ＭＳ Ｐゴシック
61,0x6236C,15,01,ＭＳ Ｐゴシック
62,0x63168,27,01,\0\s0記録完了‥‥\w8\w8と。
63,0x6336C,47,01,\t\0\s0まあ、メモみたいなもんだね‥‥\w8\w8\n\n
64,0x633A4,41,01,\1\s0それだけやけど、結構便利やで。\w8\w8
65,0x633D8,42,01,\0\n\nうん。\w8\w8\n\n注意事項は\w8\w8\n\n
66,0x6340C,66,01,%*ルート（Todo と書かれた部分）を選択して書き始めると新規追加\w8\n
67,0x63458,25,01,%*それ以外は修正扱い\w8\n
68,0x6347C,29,01,%*操作はキーボード前提\w8\n\n
69,0x634A4,24,01,\w8\w8ってところ。\w8\w8
70,0x634C8,46,01,\1\n\nなんで操作がキーボード前提なんや。\w8\w8
71,0x63500,59,01,\0\s8\n\nいやー‥‥\w8\w8だって、マウスとかダルいし。\w8\w8
72,0x63544,40,01,\1\n\n‥‥\w8\w8いつか刺されるで。\w8\w8
73,0x63578,75,01,\0\s[20]\n\nEnter で決定、DEL で削除。\w8\w8\n\s0これくらいできるでしょっ。
74,0x635F0,10,01,メッセージ
75,0x63E4C,4,01,毎週
76,0x63E5C,5,01,曜日 
77,0x6441C,27,01,\0\s0記録完了‥‥\w8\w8と。
78,0x64554,101,01,\t\0\s0基本的には、時刻とかを指定して、その時間になったらメッセージを出して知らせる、って機能。\w8\w8
79,0x645C4,90,01,\1\s0日時指定、もしくは曜日指定やな。\w8\n\n両方指定すると家が燃えるから注意せえよ。\w8\w8
80,0x64628,26,01,\0\n\n注意事項は\w8\w8\n\n
81,0x6464C,68,01,%*ルート（Notify と書かれた部分）を選択して書き始めると新規追加\w8\n
82,0x6469C,25,01,%*それ以外は修正扱い\w8\n
83,0x646C0,44,01,%*「*」を入れるとその部分は「毎」になる\w8\n
84,0x646F8,37,01,%*メッセージの他にファイル実行可\w8\n
85,0x64728,23,01,%*数字は半角のみ\w8\n\n
86,0x64748,33,01,%*曜日は「日月火水木金土」\w8\n\n
87,0x64774,29,01,%*時刻は24時間式で記述\w8\n\n
88,0x6479C,29,01,%*操作はキーボード前提\w8\n\n
89,0x647C4,24,01,\w8\w8ってところ。\w8\w8
90,0x647E8,46,01,\1\n\nなんで操作がキーボード前提なんや。\w8\w8
