Region,Offset,Outer,Inner,KeyLen,Text
1,0x2E50,26,2,10,皮卡丘
1,0x2E78,62,1,46,"大谷育江,危险,十万伏特,引发癫痫"
1,0x2EB4,26,2,8,可爱
1,0x2EDC,70,1,52,"樱,知世,利佳,-,娜可露露,-,栞,舞,步,-,佳乃,观铃"
1,0x2F20,22,2,6,危险
1,0x2F44,38,1,21,"皮卡丘,石松葛兹"
1,0x2F68,22,2,6,樱
1,0x2F94,174,1,158,"刻耳珀诺斯,知世,小学生,魔卡少女棒,可爱,无毛,飞机场,第二次性征前,释放,契约之元樱命令,紧紧闭合,插入小学生的阴道,放进拿出"
1,0x3040,34,2,16,魔卡少女
1,0x307C,94,1,77,"小学生,樱,艾利欧君,魔卡少女棒,释放,契约之元樱命令"
1,0x30D8,26,2,10,石松葛兹
1,0x3108,26,1,11,"秃头,危险"
1,0x3120,22,2,6,任天堂
1,0x3144,126,1,108,"黑社会,GameCube,GBA,NINTENDO64,京都,花札,红白机,超级任天堂,掌机,精灵宝可梦,皮卡丘,索尼电脑娱乐"
1,0x31C0,30,2,13,十万伏特
1,0x31F0,42,1,27,"皮卡丘,引发癫痫"
1,0x3218,22,2,4,知世
1,0x3244,162,1,145,"小学生,樱,-,木之本樱抱枕,魔卡少女棒,可爱,无毛,飞机场,第二次性征前,紧紧闭合,插入小学生的阴道,视频拍摄,放进拿出"
1,0x32E4,22,2,4,狗耳
1,0x3308,42,1,26,"刻耳珀诺斯,瑞穗,神岸明"
1,0x3330,22,2,6,小学生
1,0x335C,98,1,80,"樱,知世,-,阴道,小,第二次性征前,无毛,进不到深处,内射,放进拿出"
1,0x33BC,26,2,8,脑子笨
1,0x33E4,26,1,10,石松葛兹
1,0x33FC,22,2,6,薯片
1,0x3410,30,2,15,=薯片
1,0x342C,22,2,4,恋童
1,0x3454,22,2,6,小
1,0x3478,46,1,29,"小学生,刻耳珀诺斯,樱,知世"
1,0x34A4,30,2,14,薯片
1,0x34D0,26,1,11,"点心,肥猪"
1,0x34E8,22,2,4,无毛
1,0x34FC,26,2,9,=飞机场
1,0x3514,22,2,4,贵重
1,0x3538,22,1,4,无毛
1,0x354C,30,2,14,微软
1,0x3578,62,1,45,"盖茨,-,科乐美,黑社会,偷偷发送用户信息"
1,0x35B4,26,2,8,苹果
1,0x35DC,22,1,4,宗教
1,0x35F0,22,2,4,秃头
1,0x3614,50,1,32,"石松葛兹,横山诺克,科杰克"
1,0x3644,26,2,8,电影少女
1,0x366C,30,1,15,"桂正和,变态色狼"
1,0x3688,22,2,4,肥猪
1,0x36B0,46,1,31,"大桥巨泉,烦人,大块头,闷热"
1,0x36DC,22,2,6,烦人
1,0x3700,66,1,51,"胖子,丑女,-,科乐美,-,高桥克典,织田裕二,国府田麻理子"
1,0x3740,22,2,6,大块头
1,0x3764,22,1,4,肥猪
1,0x3778,22,2,4,雪印
1,0x379C,74,1,58,"金黄色葡萄球菌,大阪工场,每日骨太,冰淇淋,沉没的船"
1,0x37E4,26,2,8,闷热
1,0x380C,22,1,4,肥猪
1,0x3820,22,2,4,丑女
1,0x3848,82,1,66,"宫村优子,网络偶像,-,笨蛋拖鞋,糟糕,疼,烦人,可恨"
1,0x3898,26,2,8,变态色狼
1,0x38C4,70,1,52,"电影少女,桂正和,赤松健,色情,没用的走光很多,\"
1,0x3908,22,2,6,关口宏
1,0x3934,38,1,22,"伪善者,帕杰罗,刷子"
1,0x3958,22,2,6,伪善者
1,0x3980,34,1,16,"关口宏,德光,福留"
1,0x39A0,22,2,4,福留
1,0x39CC,30,1,13,"伪善者,黑社会"
1,0x39E8,26,2,8,山寨货
1,0x3A14,42,1,24,"数码宝贝,加尔丹,普京"
1,0x3A3C,26,2,10,美国人
1,0x3A6C,174,1,157,"恋童癖,杀人者,吸毒成瘾者,小学生的阴道口,幼女全裸尸体,附着在衣服上的体液,从体内检测出的体液,捅破小学生处女膜的机器,枪乱射,-,插入小学生的阴道,内射,强奸"
1,0x3B18,26,2,8,冲绳基地
1,0x3B40,22,1,4,恋童
